area_data_type,geography_type,geography_id,geography_desc,total_area,mobilebb_3g_area_st_pct,mobilebb_3g_area_iv_pct,mobilebb_4g_area_st_pct,mobilebb_4g_area_iv_pct,mobilebb_5g_spd1_area_st_pct,mobilebb_5g_spd1_area_iv_pct,mobilebb_5g_spd2_area_st_pct,mobilebb_5g_spd2_area_iv_pct
Total,County,51145,"Powhatan, VA",720.0530,0.0000,0.0000,0.9944,0.5135,0.5575,0.2599,0.4014,0.1919
Total,County,51147,"Prince Edward, VA",978.7496,0.0000,0.0000,0.9644,0.5468,0.4320,0.1298,0.2891,0.0827
Total,County,51149,"Prince George, VA",779.2498,0.0000,0.0000,0.9996,0.5800,0.5973,0.3155,0.4534,0.2332
Total,County,51153,"Prince William, VA",929.9806,0.0000,0.0000,0.9738,0.8132,0.8835,0.7424,0.8111,0.6377
Total,County,51155,"Pulaski, VA",916.7087,0.0000,0.0000,0.9144,0.5256,0.6710,0.4146,0.5600,0.2999
Total,County,51157,"Rappahannock, VA",715.1023,0.0000,0.0000,0.7206,0.2081,0.4127,0.1217,0.2744,0.0813
Total,County,51159,"Richmond, VA",588.9140,0.0000,0.0000,0.9767,0.5428,0.6407,0.1980,0.4965,0.1479
Total,County,51161,"Roanoke, VA",695.7212,0.0000,0.0000,0.8839,0.5611,0.7475,0.5237,0.6273,0.3806
Total,County,51163,"Rockbridge, VA",1638.3417,0.0000,0.0000,0.8624,0.3211,0.4990,0.2174,0.2810,0.0857
Total,County,51165,"Rockingham, VA",2295.9325,0.0000,0.0000,0.8438,0.5447,0.6507,0.3884,0.5470,0.2616
Total,County,51167,"Russell, VA",1330.7708,0.0000,0.0000,0.8891,0.4929,0.5811,0.2292,0.4888,0.1799
Total,County,51169,"Scott, VA",1516.8933,0.0000,0.0000,0.7484,0.2952,0.3035,0.1390,0.2032,0.1011
Total,County,51171,"Shenandoah, VA",1364.2665,0.0000,0.0000,0.8684,0.4904,0.6838,0.3047,0.5463,0.2150
Total,County,51173,"Smyth, VA",1266.3073,0.0000,0.0000,0.7339,0.3070,0.3103,0.1452,0.1507,0.0593
Total,County,51175,"Southampton, VA",1685.2147,0.0000,0.0000,0.9684,0.4266,0.5453,0.1535,0.3444,0.0873
Total,County,51177,"Spotsylvania, VA",1121.2645,0.0000,0.0000,0.9926,0.5932,0.7753,0.3994,0.6354,0.3358
Total,County,51179,"Stafford, VA",753.3380,0.0000,0.0000,0.9818,0.7704,0.8676,0.5752,0.7187,0.4677
Total,County,51181,"Surry, VA",860.8825,0.0000,0.0000,0.9779,0.4520,0.4761,0.1933,0.3257,0.1018
Total,County,51183,"Sussex, VA",1370.5865,0.0000,0.0000,0.9735,0.3472,0.3091,0.0646,0.1595,0.0375
Total,County,51185,"Tazewell, VA",1447.0579,0.0000,0.0000,0.8387,0.3934,0.3558,0.1477,0.2577,0.0821
Total,County,51187,"Warren, VA",580.3821,0.0000,0.0000,0.9682,0.6668,0.8510,0.4220,0.6920,0.2789
Total,County,51191,"Washington, VA",1589.5728,0.0000,0.0000,0.8006,0.4023,0.3856,0.2035,0.2800,0.1456
Total,County,51193,"Westmoreland, VA",686.6626,0.0000,0.0000,1.0000,0.7273,0.8928,0.4017,0.7033,0.2976
Total,County,51195,"Wise, VA",1133.6937,0.0000,0.0000,0.8719,0.5094,0.4068,0.1333,0.3093,0.1010
Total,County,51197,"Wythe, VA",1297.2751,0.0000,0.0000,0.9110,0.5042,0.6430,0.4072,0.4097,0.1662
Total,County,51199,"York, VA",594.9180,0.0000,0.0000,0.5655,0.4958,0.8185,0.4400,0.5575,0.3120
Total,County,51510,"Alexandria city, VA",40.7637,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9483
Total,County,51520,"Bristol city, VA",36.7610,0.0000,0.0000,1.0000,0.9570,0.9914,0.8997,0.9713,0.8052
Total,County,51530,"Buena Vista city, VA",18.0119,0.0000,0.0000,1.0000,0.8538,0.9591,0.8363,0.8421,0.3509
Total,County,51540,"Charlottesville city, VA",27.8078,0.0000,0.0000,1.0000,0.9886,1.0000,0.9735,0.9886,0.9242
Total,County,51550,"Chesapeake city, VA",981.8042,0.0000,0.0000,0.9083,0.6942,0.7555,0.5922,0.6796,0.4887
Total,County,51570,"Colonial Heights city, VA",21.2772,0.0000,0.0000,1.0000,0.9109,1.0000,0.9901,1.0000,0.9703
Total,County,51580,"Covington city, VA",15.5892,0.0000,0.0000,1.0000,0.9865,1.0000,0.9730,0.9865,0.8108
Total,County,51590,"Danville city, VA",123.0284,0.0000,0.0000,1.0000,0.9897,0.9991,0.9469,0.9050,0.6455
Total,County,51595,"Emporia city, VA",19.6972,0.0000,0.0000,1.0000,1.0000,1.0000,0.8128,0.9198,0.6578
Total,County,51600,"Fairfax city, VA",16.7479,0.0000,0.0000,1.0000,1.0000,1.0000,0.9874,1.0000,0.8239
Total,County,51610,"Falls Church city, VA",5.2666,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9800
Total,County,51620,"Franklin city, VA",23.2785,0.0000,0.0000,1.0000,0.9910,0.9819,0.6018,0.8145,0.4751
Total,County,51630,"Fredericksburg city, VA",28.6504,0.0000,0.0000,1.0000,0.9853,0.9890,0.9669,0.9743,0.9449
Total,County,51640,"Galax city, VA",22.9625,0.0000,0.0000,1.0000,0.9817,1.0000,0.9266,0.9954,0.5642
Total,County,51650,"Hampton city, VA",378.1437,0.0000,0.0000,0.3925,0.3908,1.0000,0.9251,0.9994,0.6961
Total,County,51660,"Harrisonburg city, VA",46.7676,0.0000,0.0000,1.0000,1.0000,1.0000,0.9955,0.9977,0.9572
Total,County,51670,"Hopewell city, VA",30.1251,0.0000,0.0000,1.0000,0.9790,1.0000,0.9441,0.9825,0.8881
Total,County,51678,"Lexington city, VA",6.7413,0.0000,0.0000,1.0000,1.0000,1.0000,0.9844,1.0000,0.5938
Total,County,51680,"Lynchburg city, VA",135.9843,0.0000,0.0000,1.0000,0.9574,0.9752,0.8714,0.9318,0.7583
Total,County,51683,"Manassas city, VA",26.0171,0.0000,0.0000,1.0000,1.0000,1.0000,0.9879,1.0000,0.9433
Total,County,51685,"Manassas Park city, VA",8.2159,0.0000,0.0000,1.0000,1.0000,1.0000,0.9872,1.0000,0.8974
Total,County,51690,"Martinsville city, VA",30.4411,0.0000,0.0000,1.0000,0.9723,1.0000,0.8754,0.9031,0.3668
Total,County,51700,"Newport News city, VA",332.3240,0.0000,0.0000,0.9429,0.8678,0.9905,0.9106,0.9658,0.8231
Total,County,51710,"Norfolk city, VA",268.5979,0.0000,0.0000,0.6522,0.6518,1.0000,0.9969,0.9996,0.9753
Total,County,51720,"Norton city, VA",20.6452,0.0000,0.0000,0.9796,0.7449,0.7143,0.3776,0.6224,0.2500
Total,County,51730,"Petersburg city, VA",63.8315,0.0000,0.0000,1.0000,0.9802,1.0000,0.9934,1.0000,0.9356
Total,County,51735,"Poquoson city, VA",217.1956,0.0000,0.0000,0.2114,0.2085,0.9433,0.4151,0.6751,0.2425
Total,County,51740,"Portsmouth city, VA",129.7696,0.0000,0.0000,0.8920,0.8864,1.0000,0.9943,0.9992,0.9675
Total,County,51750,"Radford city, VA",27.4918,0.0000,0.0000,1.0000,0.9923,1.0000,0.9387,0.9847,0.8774
Total,County,51760,"Richmond city, VA",171.6920,0.0000,0.0000,1.0000,0.9712,1.0000,0.9730,0.9920,0.9350
Total,County,51770,"Roanoke city, VA",117.5511,0.0000,0.0000,1.0000,0.9937,0.9982,0.9651,0.9866,0.8557
Total,County,51775,"Salem city, VA",40.1317,0.0000,0.0000,1.0000,0.9974,1.0000,0.9948,0.9974,0.9291
Total,County,51790,"Staunton city, VA",54.4569,0.0000,0.0000,1.0000,0.9884,1.0000,0.9865,1.0000,0.9400
Total,County,51800,"Suffolk city, VA",1199.7372,0.0000,0.0000,0.9109,0.6107,0.6612,0.4230,0.5411,0.3426
Total,County,51810,"Virginia Beach city, VA",1389.5463,0.0000,0.0000,0.6114,0.5588,0.9503,0.7012,0.8742,0.5262
Total,County,51820,"Waynesboro city, VA",40.9743,0.0000,0.0000,1.0000,0.9974,1.0000,0.9769,0.9974,0.8869
Total,County,51830,"Williamsburg city, VA",25.2798,0.0000,0.0000,1.0000,1.0000,1.0000,0.8042,0.9583,0.6417
Total,County,51840,"Winchester city, VA",24.1211,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9913
Total,County,53001,"Adams, WA",5414.3012,0.1851,0.0330,0.9732,0.7683,0.8309,0.4563,0.6680,0.3101
Total,County,53003,"Asotin, WA",1752.3115,0.0747,0.0338,0.6183,0.3609,0.3128,0.0501,0.2040,0.0264
Total,County,53005,"Benton, WA",4892.2733,0.0014,0.0009,0.9970,0.8763,0.9676,0.7583,0.8033,0.3759
Total,County,53007,"Chelan, WA",8688.1406,0.0004,0.0000,0.4322,0.2105,0.2561,0.1098,0.1921,0.0682
Total,County,53009,"Clallam, WA",8009.5886,0.0000,0.0000,0.4651,0.1909,0.2364,0.0841,0.1793,0.0514
Total,County,53011,"Clark, WA",1850.6920,0.0000,0.0000,0.9120,0.6945,0.7319,0.5141,0.6426,0.4282
Total,County,53013,"Columbia, WA",2404.0036,0.1153,0.0535,0.6764,0.3874,0.2034,0.0625,0.1228,0.0313
Total,County,53015,"Cowlitz, WA",3323.6617,0.0000,0.0000,0.5561,0.2568,0.3395,0.1726,0.2236,0.1232
Total,County,53017,"Douglas, WA",5310.9700,0.0003,0.0001,0.9581,0.6348,0.8178,0.2651,0.6328,0.1870
Total,County,53019,"Ferry, WA",6540.6216,0.0026,0.0000,0.5755,0.2419,0.3454,0.0891,0.2644,0.0523
Total,County,53021,"Franklin, WA",3522.8455,0.0169,0.0011,0.9241,0.7074,0.7716,0.5052,0.6604,0.3509
Total,County,53023,"Garfield, WA",1983.0950,0.0721,0.0261,0.7143,0.4619,0.3044,0.0906,0.1813,0.0536
Total,County,53025,"Grant, WA",7914.4734,0.2653,0.1205,0.9909,0.8840,0.9383,0.6246,0.7454,0.3009
Total,County,53027,"Grays Harbor, WA",6530.4043,0.0000,0.0000,0.7833,0.4274,0.4715,0.2446,0.2409,0.0574
Total,County,53029,"Island, WA",1533.8519,0.0000,0.0000,0.4054,0.3227,0.8425,0.7239,0.7899,0.6455
Total,County,53031,"Jefferson, WA",6494.6966,0.0000,0.0000,0.3790,0.1653,0.2167,0.0897,0.1663,0.0650
Total,County,53033,"King, WA",6703.5710,0.0000,0.0000,0.7365,0.4949,0.5836,0.4824,0.5443,0.4296
Total,County,53035,"Kitsap, WA",1661.6202,0.0000,0.0000,0.7092,0.5955,0.8325,0.5843,0.7324,0.4849
Total,County,53037,"Kittitas, WA",6662.8073,0.0006,0.0000,0.7649,0.4980,0.5999,0.3921,0.4457,0.1966
Total,County,53039,"Klickitat, WA",5306.5460,0.0000,0.0000,0.7727,0.4148,0.5993,0.2563,0.3800,0.1134
Total,County,53041,"Lewis, WA",6978.2781,0.0000,0.0000,0.6489,0.3032,0.4283,0.2003,0.2979,0.0977
Total,County,53043,"Lincoln, WA",6642.0568,0.4235,0.2000,0.9759,0.7531,0.8660,0.4231,0.6910,0.2946
Total,County,53045,"Mason, WA",3080.4490,0.0000,0.0000,0.7306,0.3936,0.4208,0.1514,0.2660,0.0648
Total,County,53047,"Okanogan, WA",15546.9717,0.0001,0.0000,0.5344,0.3069,0.3845,0.1562,0.3022,0.1016
Total,County,53049,"Pacific, WA",3557.6052,0.0000,0.0000,0.7536,0.3577,0.5411,0.2660,0.2687,0.0799
Total,County,53051,"Pend Oreille, WA",4104.5969,0.0000,0.0000,0.5985,0.2481,0.3841,0.1196,0.2997,0.0738
Total,County,53053,"Pierce, WA",5208.6921,0.0000,0.0000,0.7097,0.4706,0.5779,0.4103,0.5033,0.3608
Total,County,53055,"San Juan, WA",1864.2799,0.0000,0.0000,0.2733,0.1666,0.3183,0.1755,0.2510,0.1384
Total,County,53057,"Skagit, WA",5690.5883,0.0000,0.0000,0.5519,0.3101,0.4244,0.2971,0.3750,0.2556
Total,County,53059,"Skamania, WA",4757.8690,0.0000,0.0000,0.2660,0.0912,0.1152,0.0362,0.0812,0.0231
Total,County,53061,"Snohomish, WA",6450.2463,0.0000,0.0000,0.5455,0.3731,0.4480,0.3524,0.4034,0.3150
Total,County,53063,"Spokane, WA",5029.1002,0.0050,0.0036,0.9840,0.7991,0.8941,0.6274,0.7804,0.4906
Total,County,53065,"Stevens, WA",7316.7114,0.0025,0.0001,0.8364,0.4526,0.5678,0.1909,0.4275,0.1201
Total,County,53067,"Thurston, WA",2242.4236,0.0000,0.0000,0.8513,0.5619,0.7352,0.5289,0.6514,0.4696
Total,County,53069,"Wahkiakum, WA",823.8055,0.0000,0.0000,0.5709,0.2229,0.2969,0.1373,0.2317,0.0705
Total,County,53071,"Walla Walla, WA",3586.6770,0.1931,0.0934,0.8455,0.5713,0.5217,0.2600,0.3956,0.1635
Total,County,53073,"Whatcom, WA",7498.5153,0.0000,0.0000,0.3525,0.2404,0.3421,0.2604,0.3134,0.2224
Total,County,53075,"Whitman, WA",6060.9374,0.0929,0.0459,0.9040,0.6526,0.5149,0.1732,0.3572,0.1036
Total,County,53077,"Yakima, WA",12149.3665,0.0000,0.0000,0.6966,0.4829,0.5749,0.3989,0.4586,0.2507
Total,County,54001,"Barbour, WV",910.2835,0.0000,0.0000,0.7695,0.3380,0.4840,0.1909,0.3223,0.1118
Total,County,54003,"Berkeley, WV",846.2413,0.0000,0.0000,0.9864,0.7471,0.8753,0.6708,0.7385,0.5004
Total,County,54005,"Boone, WV",1371.3238,0.0000,0.0000,0.6113,0.1909,0.2484,0.0787,0.1471,0.0434
Total,County,54007,"Braxton, WV",1384.2797,0.0000,0.0000,0.6046,0.2552,0.3388,0.1329,0.2468,0.0918
Total,County,54009,"Brooke, WV",240.3688,0.0000,0.0000,0.9869,0.6599,0.8098,0.5557,0.7095,0.4864
Total,County,54011,"Cabell, WV",779.1445,0.0000,0.0000,0.9248,0.5602,0.6866,0.4456,0.5293,0.3624
Total,County,54013,"Calhoun, WV",750.3887,0.0000,0.0000,0.5684,0.1321,0.1356,0.0400,0.0922,0.0278
Total,County,54015,"Clay, WV",927.2420,0.0000,0.0000,0.6194,0.2799,0.2573,0.0861,0.1629,0.0575
Total,County,54017,"Doddridge, WV",848.4533,0.0000,0.0000,0.5116,0.1698,0.2343,0.0864,0.1698,0.0627
Total,County,54019,"Fayette, WV",1818.1443,0.0000,0.0000,0.8108,0.4441,0.4942,0.2214,0.3402,0.1364
Total,County,54021,"Gilmer, WV",907.3342,0.0000,0.0000,0.5831,0.1549,0.1866,0.0580,0.1206,0.0390
Total,County,54023,"Grant, WV",1276.3139,0.0000,0.0000,0.5140,0.1918,0.4424,0.2138,0.1980,0.0521
Total,County,54025,"Greenbrier, WV",2793.1019,0.0000,0.0000,0.6434,0.3041,0.4130,0.2098,0.2627,0.0971
Total,County,54027,"Hampshire, WV",1703.9639,0.0000,0.0000,0.7383,0.3365,0.6697,0.3674,0.3493,0.1006
Total,County,54029,"Hancock, WV",227.3075,0.0000,0.0000,0.9991,0.8068,0.9208,0.7067,0.8749,0.6135
Total,County,54031,"Hardy, WV",1555.0237,0.0000,0.0000,0.5506,0.1959,0.4388,0.1706,0.2467,0.0543
Total,County,54033,"Harrison, WV",1102.9366,0.0000,0.0000,0.8030,0.5223,0.6585,0.3978,0.5054,0.2690
Total,County,54035,"Jackson, WV",1263.4633,0.0000,0.0000,0.9167,0.4828,0.5844,0.2446,0.4333,0.1660
Total,County,54037,"Jefferson, WV",559.9476,0.0000,0.0000,0.9953,0.8384,0.9590,0.7306,0.7871,0.4133
Total,County,54039,"Kanawha, WV",2465.8338,0.0000,0.0000,0.7550,0.4249,0.5251,0.3103,0.4134,0.2465
Total,County,54041,"Lewis, WV",1040.6851,0.0000,0.0000,0.7521,0.3058,0.3921,0.1588,0.2478,0.0994
Total,County,54043,"Lincoln, WV",1193.3119,0.0000,0.0000,0.5442,0.1984,0.3136,0.1003,0.1445,0.0469
Total,County,54045,"Logan, WV",1246.1888,0.0000,0.0000,0.6772,0.2258,0.1893,0.0629,0.1021,0.0316
Total,County,54047,"McDowell, WV",1479.1843,0.0000,0.0000,0.5746,0.2050,0.2208,0.0798,0.1415,0.0451
Total,County,54049,"Marion, WV",821.6988,0.0000,0.0000,0.8348,0.5456,0.6415,0.3842,0.5524,0.2789
Total,County,54051,"Marshall, WV",817.2749,0.0000,0.0000,0.6572,0.2786,0.4109,0.1865,0.3198,0.1451
Total,County,54053,"Mason, WV",1192.9959,0.0000,0.0000,0.8484,0.3817,0.5104,0.2118,0.3563,0.1470
Total,County,54055,"Mercer, WV",1161.1855,0.0000,0.0000,0.9487,0.5785,0.6515,0.3441,0.4497,0.2025
Total,County,54057,"Mineral, WV",868.0451,0.0000,0.0000,0.8783,0.5133,0.8245,0.5635,0.4919,0.1881
Total,County,54059,"Mingo, WV",1164.1348,0.0000,0.0000,0.5550,0.2046,0.0549,0.0189,0.0342,0.0119
Total,County,54061,"Monongalia, WV",961.3697,0.0000,0.0000,0.8372,0.6444,0.7149,0.5327,0.6248,0.4440
Total,County,54063,"Monroe, WV",1301.9097,0.0000,0.0000,0.7254,0.3205,0.3889,0.1637,0.2730,0.0900
Total,County,54065,"Morgan, WV",604.1872,0.0000,0.0000,0.9029,0.4562,0.7746,0.3466,0.5171,0.1780
Total,County,54067,"Nicholas, WV",1771.4820,0.0000,0.0000,0.6547,0.3135,0.4090,0.1536,0.2956,0.0986
Total,County,54069,"Ohio, WV",284.2924,0.0000,0.0000,0.9915,0.7544,0.8755,0.6673,0.7888,0.5554
Total,County,54071,"Pendleton, WV",1870.9159,0.0000,0.0000,0.3799,0.1203,0.1616,0.0380,0.1056,0.0236
Total,County,54073,"Pleasants, WV",355.6025,0.0000,0.0000,0.6395,0.2100,0.3557,0.1371,0.2938,0.0975
Total,County,54075,"Pocahontas, WV",2543.9905,0.0000,0.0000,0.1380,0.0409,0.0708,0.0238,0.0412,0.0097
Total,County,54077,"Preston, WV",1718.2891,0.0000,0.0000,0.8716,0.5553,0.6784,0.3702,0.5194,0.2020
Total,County,54079,"Putnam, WV",945.9912,0.0000,0.0000,0.8905,0.5060,0.6886,0.4066,0.5143,0.2916
Total,County,54081,"Raleigh, WV",1670.1521,0.0000,0.0000,0.7696,0.4550,0.5187,0.3194,0.4082,0.2501
Total,County,54083,"Randolph, WV",2782.1473,0.0000,0.0000,0.3371,0.1523,0.2100,0.0962,0.1466,0.0549
Total,County,54085,"Ritchie, WV",1206.0571,0.0000,0.0000,0.5335,0.1614,0.2245,0.0632,0.1610,0.0452
Total,County,54087,"Roane, WV",1298.7497,0.0000,0.0000,0.7550,0.3005,0.3856,0.1284,0.2617,0.0872
Total,County,54089,"Summers, WV",1008.7694,0.0000,0.0000,0.9659,0.5550,0.5642,0.2324,0.4307,0.1457
Total,County,54091,"Taylor, WV",464.8323,0.0000,0.0000,0.9683,0.7206,0.8504,0.5574,0.6551,0.3145
Total,County,54093,"Tucker, WV",1117.6832,0.0000,0.0000,0.5594,0.2374,0.3143,0.1064,0.1932,0.0484
Total,County,54095,"Tyler, WV",688.1372,0.0000,0.0000,0.5901,0.2420,0.2591,0.1110,0.2085,0.0987
Total,County,54097,"Upshur, WV",946.3072,0.0000,0.0000,0.5779,0.3098,0.4682,0.2267,0.2907,0.1289
Total,County,54099,"Wayne, WV",1393.7596,0.0000,0.0000,0.5814,0.2573,0.3503,0.1545,0.2330,0.1084
Total,County,54101,"Webster, WV",1497.5122,0.0000,0.0000,0.2818,0.0976,0.1286,0.0379,0.0963,0.0287
Total,County,54103,"Wetzel, WV",951.4685,0.0000,0.0000,0.5740,0.1698,0.1415,0.0609,0.1230,0.0529
Total,County,54105,"Wirt, WV",625.3591,0.0000,0.0000,0.4578,0.1762,0.2501,0.1088,0.1553,0.0756
Total,County,54107,"Wood, WV",1000.8694,0.0000,0.0000,0.9190,0.6320,0.7823,0.5101,0.6322,0.3945
Total,County,54109,"Wyoming, WV",1379.7504,0.0000,0.0000,0.5559,0.1757,0.2302,0.0676,0.1610,0.0488
Total,County,55001,"Adams, WI",1715.4451,0.0000,0.0000,0.9986,0.7273,0.7679,0.4773,0.4474,0.1667
Total,County,55003,"Ashland, WI",5508.9951,0.0000,0.0000,0.3180,0.1005,0.1202,0.0348,0.0563,0.0135
Total,County,55005,"Barron, WI",2190.2840,0.0000,0.0000,0.9893,0.7630,0.5507,0.1884,0.4391,0.1386
Total,County,55007,"Bayfield, WI",4923.8730,0.0000,0.0000,0.5418,0.1958,0.2707,0.0588,0.1563,0.0261
Total,County,55009,"Brown, WI",1513.5227,0.0000,0.0000,0.9998,0.9436,0.9903,0.9477,0.9119,0.7836
Total,County,55011,"Buffalo, WI",1775.6953,0.0000,0.0000,0.8494,0.4476,0.3467,0.1967,0.1422,0.0549
Total,County,55013,"Burnett, WI",2158.1576,0.0000,0.0000,0.9671,0.4807,0.4508,0.0973,0.2579,0.0570
Total,County,55015,"Calumet, WI",982.7522,0.0000,0.0000,0.9997,0.9092,0.9678,0.8365,0.8220,0.5301
Total,County,55017,"Chippewa, WI",2569.3757,0.0000,0.0000,0.9601,0.6786,0.6920,0.3873,0.5464,0.3142
Total,County,55019,"Clark, WI",3015.2481,0.0000,0.0000,0.8788,0.5424,0.5803,0.2323,0.4166,0.1754
Total,County,55021,"Columbia, WI",1999.3162,0.0000,0.0000,0.9855,0.7391,0.8731,0.6022,0.5857,0.2873
Total,County,55023,"Crawford, WI",1521.6333,0.0000,0.0000,0.8553,0.4098,0.5496,0.3479,0.1660,0.0656
Total,County,55025,"Dane, WI",3129.5339,0.0000,0.0000,0.9889,0.8718,0.9282,0.8252,0.8331,0.6576
Total,County,55027,"Dodge, WI",2273.7073,0.0000,0.0000,0.9999,0.8867,0.9923,0.8730,0.7271,0.3979
Total,County,55029,"Door, WI",5755.1571,0.0000,0.0000,0.6611,0.3863,0.6229,0.3585,0.1201,0.0450
Total,County,55031,"Douglas, WI",3588.6783,0.0000,0.0000,0.8084,0.3923,0.5658,0.2252,0.4154,0.1820
Total,County,55033,"Dunn, WI",2142.8844,0.0000,0.0000,0.9671,0.6619,0.5654,0.2189,0.4130,0.1637
Total,County,55035,"Eau Claire, WI",1600.9487,0.0000,0.0000,0.9469,0.6615,0.6689,0.3746,0.5279,0.3080
Total,County,55037,"Florence, WI",1199.3158,0.0000,0.0000,0.8387,0.4550,0.1720,0.0371,0.0836,0.0162
Total,County,55039,"Fond du Lac, WI",1907.3609,0.0000,0.0000,0.9998,0.9295,0.9664,0.8215,0.7487,0.4850
Total,County,55041,"Forest, WI",2533.1413,0.0000,0.0000,0.7845,0.3349,0.1511,0.0296,0.0844,0.0127
Total,County,55043,"Grant, WI",3019.7774,0.0000,0.0000,0.8871,0.5148,0.6832,0.4928,0.2725,0.1174
Total,County,55045,"Green, WI",1489.5069,0.0000,0.0000,0.9964,0.7295,0.9506,0.7384,0.4573,0.1769
Total,County,55047,"Green Lake, WI",948.2032,0.0000,0.0000,0.9884,0.8470,0.9487,0.7796,0.5247,0.2147
Total,County,55049,"Iowa, WI",1950.7579,0.0000,0.0000,0.8575,0.4949,0.6795,0.4883,0.2458,0.1076
Total,County,55051,"Iron, WI",2219.3558,0.0000,0.0000,0.5503,0.1701,0.2166,0.0455,0.1101,0.0215
Total,County,55053,"Jackson, WI",2492.7989,0.0000,0.0000,0.9409,0.4692,0.5058,0.2017,0.2531,0.0572
Total,County,55055,"Jefferson, WI",1471.2844,0.0000,0.0000,1.0000,0.9550,0.9957,0.9298,0.9429,0.7101
Total,County,55057,"Juneau, WI",2013.6414,0.0000,0.0000,0.9516,0.6176,0.6594,0.4132,0.3914,0.1587
Total,County,55059,"Kenosha, WI",1909.9942,0.0000,0.0000,0.6443,0.4854,0.6279,0.5794,0.5847,0.5187
Total,County,55061,"Kewaunee, WI",2657.8550,0.0000,0.0000,0.5935,0.4321,0.5779,0.4100,0.2231,0.0856
Total,County,55063,"La Crosse, WI",1206.0571,0.0000,0.0000,0.9451,0.6246,0.7990,0.6603,0.6146,0.4832
Total,County,55065,"Lafayette, WI",1621.5938,0.0000,0.0000,0.9646,0.6707,0.9164,0.7250,0.3522,0.1595
Total,County,55067,"Langlade, WI",2164.6882,0.0000,0.0000,0.9108,0.4997,0.3112,0.0667,0.1750,0.0362
Total,County,55069,"Lincoln, WI",2214.1945,0.0000,0.0000,0.8231,0.4037,0.2693,0.0676,0.1421,0.0304
Total,County,55071,"Manitowoc, WI",3685.3735,0.0000,0.0000,0.6683,0.4646,0.6694,0.4686,0.3234,0.1567
Total,County,55073,"Marathon, WI",3875.0773,0.0000,0.0000,0.9577,0.7254,0.7415,0.4544,0.5436,0.3053
Total,County,55075,"Marinette, WI",3759.8436,0.0000,0.0000,0.9413,0.6102,0.4483,0.1227,0.2937,0.0856
Total,County,55077,"Marquette, WI",1159.7108,0.0000,0.0000,0.9936,0.7450,0.8890,0.6018,0.4279,0.1864
Total,County,55078,"Menominee, WI",891.6396,0.0000,0.0000,0.8708,0.3398,0.2450,0.0646,0.1935,0.0553
Total,County,55079,"Milwaukee, WI",2988.7044,0.0000,0.0000,0.4989,0.3044,0.5693,0.4387,0.4721,0.3606
Total,County,55081,"Monroe, WI",2274.6553,0.0000,0.0000,0.9733,0.6326,0.6642,0.4252,0.3399,0.1242
Total,County,55083,"Oconto, WI",2803.2138,0.0000,0.0000,0.9870,0.7777,0.5122,0.1773,0.3176,0.1263
Total,County,55085,"Oneida, WI",3000.0803,0.0000,0.0000,0.9522,0.5861,0.2917,0.0630,0.1424,0.0288
Total,County,55087,"Outagamie, WI",1588.5194,0.0000,0.0000,0.9963,0.8110,0.8644,0.6337,0.6845,0.4448
Total,County,55089,"Ozaukee, WI",2789.0993,0.0000,0.0000,0.4371,0.2846,0.5325,0.5196,0.5229,0.5015
Total,County,55091,"Pepin, WI",620.0924,0.0000,0.0000,0.9490,0.7252,0.5201,0.2319,0.3958,0.1678
Total,County,55093,"Pierce, WI",1478.6576,0.0000,0.0000,0.9921,0.7908,0.7877,0.3914,0.6592,0.3030
Total,County,55095,"Polk, WI",2360.2907,0.0000,0.0000,0.9952,0.6273,0.5213,0.1624,0.3685,0.1116
Total,County,55097,"Portage, WI",2033.7599,0.0000,0.0000,0.9853,0.7886,0.8227,0.5229,0.6001,0.3077
Total,County,55099,"Price, WI",3112.6807,0.0000,0.0000,0.6100,0.1588,0.2006,0.0410,0.0755,0.0139
Total,County,55101,"Racine, WI",2000.7908,0.0000,0.0000,0.6301,0.5245,0.6563,0.6202,0.6424,0.5413
Total,County,55103,"Richland, WI",1488.8749,0.0000,0.0000,0.8441,0.3563,0.3929,0.1971,0.1127,0.0301
Total,County,55105,"Rock, WI",1846.4787,0.0000,0.0000,1.0000,0.9659,0.9970,0.9568,0.9460,0.7627
Total,County,55107,"Rusk, WI",2282.4499,0.0000,0.0000,0.8071,0.3355,0.2457,0.0556,0.1622,0.0397
Total,County,55109,"St. Croix, WI",1826.2549,0.0000,0.0000,0.9970,0.9052,0.9578,0.5557,0.8811,0.4163
Total,County,55111,"Sauk, WI",2138.7764,0.0000,0.0000,0.9278,0.5513,0.6597,0.4206,0.3023,0.1317
Total,County,55113,"Sawyer, WI",3290.9033,0.0000,0.0000,0.6888,0.2204,0.2639,0.0613,0.1563,0.0350
Total,County,55115,"Shawano, WI",2230.2050,0.0000,0.0000,0.9855,0.8407,0.6933,0.3901,0.4816,0.2159
Total,County,55117,"Sheboygan, WI",3157.5524,0.0000,0.0000,0.5662,0.4388,0.6728,0.6110,0.5877,0.5031
Total,County,55119,"Taylor, WI",2416.6435,0.0000,0.0000,0.7176,0.2115,0.1078,0.0243,0.0613,0.0107
